	masa A						
t	x	y	vx	vy	v	θ	
2.902	-9.203E-2	4.758E-2	0.957	2.761	2.922	3752.7
2.935	5.386E-2	9.465E-2	1.969	-2.024	2.823	3660.4
2.968	3.922E-2	-8.733E-2	-2.188	-0.988	2.401	3534.2
3.002	-9.203E-2	2.876E-2	0.392	2.620	2.649	3402.6
3.035	6.536E-2	8.733E-2	1.404	-1.788	2.274	3293.2
3.068	1.569E-3	-9.046E-2	-2.032	7.844E-3	2.032	3151.0
3.102	-7.007E-2	8.785E-2	1.498	1.098	1.857	3008.6
3.135	0.101	-1.726E-2	-0.188	-1.553	1.564	2870.3
3.168	-8.262E-2	-1.569E-2	-0.620	1.631	1.745	2710.8
3.202	6.013E-2	9.151E-2	0.831	-0.926	1.244	2576.7
3.235	-2.719E-2	-7.739E-2	-1.020	0.408	1.098	2410.6
3.269	-7.844E-3	0.119	0.800	-0.173	0.818	2253.8
3.302	2.615E-2	-8.889E-2	-0.627	-0.220	0.665	2086.4
3.335	-4.968E-2	0.104	0.502	0.188	0.536	1915.5
3.369	5.961E-2	-7.634E-2	-0.227	-0.141	0.268	1748.0
3.402	-6.484E-2	9.465E-2	0.125	0.118	0.172	1924.4
3.435	6.798E-2	-6.850E-2	-4.706E-2	-0.102	0.112	1754.8
3.469	-6.798E-2	8.785E-2	-3.922E-2	4.706E-2	6.126E-2	1927.7
3.502	6.536E-2	-6.536E-2	0.133	1.569E-2	0.134	1755.0
3.535	-5.909E-2	8.889E-2	-0.212	-9.412E-2	0.232	1923.6
3.569	5.125E-2	-7.164E-2	0.149	0.212	0.259	1745.6
3.602	-4.915E-2	0.103	-0.290	-7.844E-2	0.301	1915.5
3.635	3.190E-2	-7.687E-2	0.259	0.173	0.311	2092.5
3.669	-3.190E-2	0.115	-0.133	-0.188	0.231	2265.6
3.702	2.301E-2	-8.942E-2	-0.165	0.314	0.354	2444.4
3.735	-4.288E-2	0.135	0.369	-7.844E-2	0.377	2267.6
3.769	4.758E-2	-9.465E-2	2.353E-2	-0.431	0.432	2096.7
3.802	-4.131E-2	0.107	-0.290	0.220	0.364	2271.2
3.835	2.824E-2	-8.001E-2	-0.259	0.400	0.476	2449.4
3.869	-5.857E-2	0.133	0.439	8.628E-2	0.448	2273.7
3.902	5.752E-2	-7.425E-2	4.706E-2	-0.510	0.512	2107.8
3.936	-5.543E-2	9.935E-2	0.345	-0.149	0.376	2279.2
3.969	8.053E-2	-8.419E-2	-0.384	-0.337	0.511	2113.7
4.002	-8.105E-2	7.687E-2	6.275E-2	0.596	0.599	1936.5
4.036	8.471E-2	-4.445E-2	-0.282	-0.133	0.312	1772.3
4.069	-9.988E-2	6.798E-2	0.290	0.933	0.977	1945.8
4.102	0.104	1.778E-2	0.157	-0.729	0.746	1809.7
4.136	-8.942E-2	1.935E-2	5.491E-2	0.604	0.606	1967.8
4.169	0.108	5.804E-2	0.424	-0.965	1.054	1828.3
4.202	-6.118E-2	-4.497E-2	-0.816	0.643	1.039	1656.3
4.236	5.334E-2	0.101	0.675	-0.580	0.890	1502.1
4.269	-1.621E-2	-8.367E-2	-1.153	0.322	1.197	1339.0
4.302	-2.353E-2	0.122	0.980	0.141	0.991	1180.9
4.336	4.915E-2	-7.425E-2	-0.886	-0.478	1.007	1023.5
4.369	-8.262E-2	9.046E-2	0.878	1.153	1.450	852.4
4.402	0.108	2.615E-3	1.569E-2	-1.294	1.294	721.4
4.436	-8.157E-2	4.183E-3	-0.431	1.404	1.469	897.1
4.469	7.896E-2	9.622E-2	1.028	-1.333	1.683	770.6
4.503	-1.307E-2	-8.471E-2	-1.545	0.149	1.552	621.2
4.536	-2.405E-2	0.106	1.577	0.118	1.581	462.8
4.569	9.203E-2	-7.687E-2	-0.878	-1.302	1.571	320.1
4.603	-8.262E-2	1.935E-2	-1.569E-2	1.984	1.985	166.8
4.636	9.099E-2	5.543E-2	0.847	-1.545	1.762	31.3
4.669	-2.615E-2	-8.367E-2	-2.000	0.706	2.121	-107.4
4.703	-4.236E-2	0.102	1.749	0.494	1.818	-247.5
4.736	9.046E-2	-5.072E-2	-0.635	-1.733	1.846	-389.3
4.769	-8.471E-2	-1.307E-2	-0.839	2.377	2.520	-531.2
4.803	3.451E-2	0.108	1.914	-1.145	2.230	-647.8
4.836	4.288E-2	-8.942E-2	-1.773	-1.028	2.049	-784.4
4.869	-8.367E-2	3.922E-2	0.651	2.432	2.517	-925.1
4.903	8.628E-2	7.268E-2	1.439	-1.944	2.418	-1039.9
4.936	1.464E-2	-9.360E-2	-2.349	-0.214	2.359	-1161.1
4.969	-7.425E-2	5.804E-2	1.153	2.275	2.550	-1298.0
5.003	9.151E-2	5.804E-2	1.271	-2.298	2.626	-1407.6
5.036	1.046E-2	-9.517E-2	-2.659	-0.141	2.663	-1523.7
5.070	-8.576E-2	4.863E-2	0.706	2.855	2.941	-1649.6
5.103	5.752E-2	9.517E-2	2.039	-1.930	2.808	-1741.1
5.136	5.020E-2	-8.001E-2	-2.071	-1.467	2.538	-1857.9
5.170	-8.053E-2	-2.615E-3	-1.043	3.130	3.299	-1978.1
5.203	-1.935E-2	0.129	2.926	0.431	2.957	-2061.4
5.236	0.115	2.615E-2	0.502	-3.153	3.193	-2147.1
5.270	1.412E-2	-8.157E-2	-2.988	-0.259	3.000	-2240.2
5.303	-8.471E-2	8.889E-3	-0.871	3.035	3.158	-2346.0
5.336	-4.392E-2	0.121	2.486	1.294	2.803	-2410.0
5.370	8.105E-2	9.517E-2	2.118	-2.298	3.125	-2470.4
5.403	9.726E-2	-3.242E-2	-0.980	-2.541	2.724	-2538.4
5.436	1.569E-2	-7.425E-2	-2.243	-0.102	2.246	-2598.1
5.470	-5.229E-2	-3.922E-2	-1.475	1.326	1.983	-2663.1
5.503	-8.262E-2	1.412E-2	-0.455	1.584	1.648	-2709.7
5.536	-8.262E-2	6.641E-2	0.282	1.333	1.363	-2738.8
5.570	-6.380E-2	0.103	0.565	0.761	0.948	-2758.2
5.603	-4.497E-2	0.117	0.322	0.298	0.438	-2769.0
5.637	-4.236E-2	0.123	-2.353E-2	-7.844E-3	2.480E-2	-2771.0
5.670	-4.654E-2	0.117	-0.361	-0.369	0.516	-2768.2
5.703	-6.641E-2	9.831E-2	-0.502	-0.761	0.912	-2756.0
5.737	-8.001E-2	6.589E-2	-0.243	-1.239	1.263	-2739.5
5.770	-8.262E-2	1.569E-2	0.463	-1.624	1.688	-2710.8
5.803	-4.915E-2	-4.236E-2	1.428	-1.373	1.980	-2659.2
5.837	1.255E-2	-7.582E-2	2.157	2.353E-2	2.157	-2600.6
5.870	9.465E-2	-4.079E-2	1.200	2.439	2.719	-2543.3
5.903	9.256E-2	8.680E-2				-2476.8
